State/UT,Year,Population
Andaman and Nicobar Islands,2001,356152
Andaman and Nicobar Islands,2002,372096
Andaman and Nicobar Islands,2003,388343
Andaman and Nicobar Islands,2004,404902
Andaman and Nicobar Islands,2005,421779
Andaman and Nicobar Islands,2006,438982
Andaman and Nicobar Islands,2007,456517
Andaman and Nicobar Islands,2008,474389
Andaman and Nicobar Islands,2009,492605
Andaman and Nicobar Islands,2010,511170
Andaman and Nicobar Islands,2011,530089
Andaman and Nicobar Islands,2012,549368
Andhra Pradesh,2001,76210007
Andhra Pradesh,2002,77722774
Andhra Pradesh,2003,79247829
Andhra Pradesh,2004,80785460
Andhra Pradesh,2005,82335801
Andhra Pradesh,2006,83899047
Andhra Pradesh,2007,85475214
Andhra Pradesh,2008,87064434
Andhra Pradesh,2009,88666901
Andhra Pradesh,2010,90282867
Andhra Pradesh,2011,91912596
Andhra Pradesh,2012,93556426
Arunachal Pradesh,2001,1097968
Arunachal Pradesh,2002,1119093
Arunachal Pradesh,2003,1140586
Arunachal Pradesh,2004,1162440
Arunachal Pradesh,2005,1184653
Arunachal Pradesh,2006,1207224
Arunachal Pradesh,2007,1230150
Arunachal Pradesh,2008,1253428
Arunachal Pradesh,2009,1277053
Arunachal Pradesh,2010,1301020
Arunachal Pradesh,2011,1325322
Arunachal Pradesh,2012,1349955
Assam,2001,26655528
Assam,2002,27000659
Assam,2003,27348680
Assam,2004,27699685
Assam,2005,28053772
Assam,2006,28411051
Assam,2007,28771642
Assam,2008,29135569
Assam,2009,29502947
Assam,2010,29873851
Assam,2011,30248340
Assam,2012,30626470
Bihar,2001,82998509
Bihar,2002,84184099
Bihar,2003,85377870
Bihar,2004,86579841
Bihar,2005,87790018
Bihar,2006,89008384
Bihar,2007,90234986
Bihar,2008,91469847
Bihar,2009,92712901
Bihar,2010,93964050
Bihar,2011,95223170
Bihar,2012,96490282
Chandigarh,2001,900635
Chandigarh,2002,921594
Chandigarh,2003,942787
Chandigarh,2004,964215
Chandigarh,2005,985880
Chandigarh,2006,1007778
Chandigarh,2007,1029935
Chandigarh,2008,1052361
Chandigarh,2009,1075059
Chandigarh,2010,1098033
Chandigarh,2011,1121291
Chandigarh,2012,1144839
Chhattisgarh,2001,20733232
Chhattisgarh,2002,21045463
Chhattisgarh,2003,21362393
Chhattisgarh,2004,21684049
Chhattisgarh,2005,22010465
Chhattisgarh,2006,22341673
Chhattisgarh,2007,22677703
Chhattisgarh,2008,23018591
Chhattisgarh,2009,23364374
Chhattisgarh,2010,23715086
Chhattisgarh,2011,24070759
Chhattisgarh,2012,24431400
Dadra and Nagar Haveli,2001,220451
Dadra and Nagar Haveli,2002,223867
Dadra and Nagar Haveli,2003,227302
Dadra and Nagar Haveli,2004,230756
Dadra and Nagar Haveli,2005,234231
Dadra and Nagar Haveli,2006,237726
Dadra and Nagar Haveli,2007,241242
Dadra and Nagar Haveli,2008,244779
Dadra and Nagar Haveli,2009,248338
Dadra and Nagar Haveli,2010,251919
Dadra and Nagar Haveli,2011,255522
Dadra and Nagar Haveli,2012,259148
Daman and Diu,2001,158204
Daman and Diu,2002,161035
Daman and Diu,2003,163912
Daman and Diu,2004,166835
Daman and Diu,2005,169805
Daman and Diu,2006,172822
Daman and Diu,2007,175886
Daman and Diu,2008,178997
Daman and Diu,2009,182155
Daman and Diu,2010,185362
Daman and Diu,2011,188618
Daman and Diu,2012,191924
Delhi,2001,13850507
Delhi,2002,14201157
Delhi,2003,14556078
Delhi,2004,14915352
Delhi,2005,15279078
Delhi,2006,15647363
Delhi,2007,16020206
Delhi,2008,16397748
Delhi,2009,16780039
Delhi,2010,17167172
Delhi,2011,17559262
Delhi,2012,17956329
Goa,2001,1347668
Goa,2002,1370938
Goa,2003,1394730
Goa,2004,1419054
Goa,2005,1443911
Goa,2006,1469303
Goa,2007,1495234
Goa,2008,1521706
Goa,2009,1548721
Goa,2010,1576280
Goa,2011,1604384
Goa,2012,1633033
Gujarat,2001,50579626
Gujarat,2002,51234618
Gujarat,2003,51888689
Gujarat,2004,52541743
Gujarat,2005,53193892
Gujarat,2006,53845144
Gujarat,2007,54495413
Gujarat,2008,55144715
Gujarat,2009,55792963
Gujarat,2010,56440178
Gujarat,2011,57086389
Gujarat,2012,57731543
Haryana,2001,21144564
Haryana,2002,21553266
Haryana,2003,21968240
Haryana,2004,22389636
Haryana,2005,22817519
Haryana,2006,23252069
Haryana,2007,23693466
Haryana,2008,24141996
Haryana,2009,24597824
Haryana,2010,25061016
Haryana,2011,25531730
Haryana,2012,26010282
Himachal Pradesh,2001,6077900
Himachal Pradesh,2002,6176050
Himachal Pradesh,2003,6276624
Himachal Pradesh,2004,6379674
Himachal Pradesh,2005,6485246
Himachal Pradesh,2006,6593382
Himachal Pradesh,2007,6704121
Himachal Pradesh,2008,6817502
Himachal Pradesh,2009,6933560
Himachal Pradesh,2010,7052334
Himachal Pradesh,2011,7173879
Himachal Pradesh,2012,7298240
Jammu and Kashmir,2001,10143700
Jammu and Kashmir,2002,10267594
Jammu and Kashmir,2003,10395258
Jammu and Kashmir,2004,10526785
Jammu and Kashmir,2005,10662279
Jammu and Kashmir,2006,10801836
Jammu and Kashmir,2007,10945518
Jammu and Kashmir,2008,11093300
Jammu and Kashmir,2009,11245253
Jammu and Kashmir,2010,11401351
Jammu and Kashmir,2011,11561741
Jammu and Kashmir,2012,11726464
Jharkhand,2001,26945829
Jharkhand,2002,27345207
Jharkhand,2003,27748929
Jharkhand,2004,28156879
Jharkhand,2005,28568908
Jharkhand,2006,28984975
Jharkhand,2007,29405081
Jharkhand,2008,29829238
Jharkhand,2009,30257439
Jharkhand,2010,30689605
Jharkhand,2011,31125719
Jharkhand,2012,31565703
Karnataka,2001,52709035
Karnataka,2002,53673558
Karnataka,2003,54650418
Karnataka,2004,55639742
Karnataka,2005,56641538
Karnataka,2006,57656060
Karnataka,2007,58683312
Karnataka,2008,59723561
Karnataka,2009,60776921
Karnataka,2010,61843534
Karnataka,2011,62923535
Karnataka,2012,64017056
Kerala,2001,31841374
Kerala,2002,32081624
Kerala,2003,32320885
Kerala,2004,32559088
