,State/UT,2001 Area (in sq. km),2002 Area (in sq. km),2003 Area (in sq. km),2004 Area (in sq. km),2005 Area (in sq. km),2006 Area (in sq. km),2007 Area (in sq. km),2008 Area (in sq. km),2009 Area (in sq. km),2010 Area (in sq. km),2011 Area (in sq. km),Change in Area (2001-2011)
0,A & N ISLANDS,8249,8249,8249,8249,8249,8249,8249,8249,8249,8249,8249,0
1,Andhra Pradesh,275045,275045,275045,275045,275045,275045,275045,275045,275045,275045,275045,0
2,Arunachal Pradesh,83743,83743,83743,83743,83743,83743,83743,83743,83743,83743,83743,0
3,Assam,78438,78438,78438,78438,78438,78438,78438,78438,78438,78438,78438,0
4,Bihar,94163,94163,94163,94163,94163,94163,94163,94163,94163,94163,94163,0
5,Chandigarh,114,114,114,114,114,114,114,114,114,114,114,0
6,Chhattisgarh,135191,135191,135191,135191,135191,135191,135191,135191,135191,135191,135191,0
7,D & N HAVELI,491,491,491,491,491,491,491,491,491,491,491,0
8,Daman & Diu,112,112,112,112,112,112,112,112,112,112,112,0
9,Delhi,1483,1483,1483,1483,1483,1483,1483,1483,1483,1484,1484,1
10,Goa,3702,3702,3702,3702,3702,3702,3702,3702,3702,3702,3702,0
11,Gujarat,196024,196024,196024,196024,196024,196024,196024,196024,196024,196024,196024,0
12,Haryana,44212,44212,44212,44212,44212,44212,44212,44212,44212,44212,44212,0
13,Himachal Pradesh,55673,55673,55673,55673,55673,55673,55673,55673,55673,55673,55673,0
14,Jammu & Kashmir,222236,222236,222236,222236,222236,222236,222236,222236,222236,222236,222236,0
15,Jharkhand,74677,74677,74677,74677,74677,74677,74677,74677,74677,74677,74677,0
16,Karnataka,191791,191791,191791,191791,191791,191791,191791,191791,191791,191791,191791,0
17,Kerala,38852,38852,38852,38852,38852,38852,38852,38852,38852,38863,38863,11
18,Lakshadweep,32,32,32,32,32,32,32,32,32,32,32,0
19,Madhya Pradesh,308245,308245,308245,308245,308245,308245,308245,308245,308245,308245,308245,0
20,Maharashtra,307713,307713,307713,307713,307713,307713,307713,307713,307713,307713,307713,0
21,Manipur,22327,22327,22327,22327,22327,22327,22327,22327,22327,22327,22327,0
22,Meghalaya,22429,22429,22429,22429,22429,22429,22429,22429,22429,22429,22429,0
23,Mizoram,21081,21081,21081,21081,21081,21081,21081,21081,21081,21081,21081,0
24,Nagaland,16579,16579,16579,16579,16579,16579,16579,16579,16579,16579,16579,0
25,Odisha,155707,155707,155707,155707,155707,155707,155707,155707,155707,155707,155707,0
26,Puducherry,479,479,479,479,479,479,479,479,479,479,479,0
27,Punjab,50362,50362,50362,50362,50362,50362,50362,50362,50362,50362,50362,0
28,Rajasthan,342239,342239,342239,342239,342239,342239,342239,342239,342239,342239,342239,0
29,Sikkim,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,7096,0
30,Tamil Nadu,130060,130060,130060,130060,130060,130060,130060,130060,130060,130058,130058,-2
31,Tripura,10486,10486,10486,10486,10486,10486,10486,10486,10486,10486,10486,0
32,Uttar Pradesh,240928,240928,240928,240928,240928,240928,240928,240928,240928,240928,240928,0
33,Uttarakhand,53566,53566,53566,53566,53566,53566,53566,53566,53566,53566,53483,-83
34,West Bengal,88752,88752,88752,88752,88752,88752,88752,88752,88752,88752,88752,0
