STATE/UT,YEAR,STATE AND YEAR,POPULATION,LITERACY RATE,AREA (in sq. km),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,CRIMES AGAINST CHILDREN,JUVENILES APPREHENDED,POLICEMEN KILLED,THEFT CASES REPOERTED,THEFT VALUE TOTAL,TOTAL  Dacoity,TOTAL  Robbery,TOTAL  Burglary,TOTAL  Theft,Total Petty Crime,Human Rights Violation Cases,Policemen Chargesheeted,Polimen Charged,Crimes Against Women,TOTAL IPC CRIMES
ANDHRA PRADESH,2001,ANDHRA PRADESH2001,76210007,60.47,275045,2602,1555,136,871,0,871,1182,765,417,214,9,629,7220,16751,3051,13700,3001,788,5391,144,872,34947,420,3544,2271,5791,7,7400,34344,2933,512,270,1425,70,24814,423123832,214,629,7220,16751,24814,45,29,2,13669,130089
ARUNACHAL PRADESH,2001,ARUNACHAL PRADESH2001,1097968,54.34,83743,83,53,3,33,0,33,83,55,28,22,2,84,248,443,36,407,24,41,30,4,13,466,0,78,3,11,0,0,618,0,72,0,136,1,797,25830824,22,84,248,443,797,11,6,0,180,2342
ASSAM,2001,ASSAM2001,26655528,63.25,78438,1356,481,40,817,0,817,1480,1070,410,532,14,687,2423,5367,350,5017,2953,374,575,46,441,5805,59,850,4,1248,0,2010,9315,6,0,18,253,34,9009,91939857,532,687,2423,5367,9009,35,0,0,4048,36877
BIHAR,2001,BIHAR2001,82998509,47,94163,3643,3419,250,888,0,888,2159,518,1641,1291,147,2203,3233,9701,1050,8651,8606,946,1659,85,502,7544,859,562,21,1558,83,2406,36667,1303,47,83,576,14,16428,403558199,1291,2203,3233,9701,16428,0,0,0,4489,88432
CHHATTISGARH,2001,CHHATTISGARH2001,20733232,64.66,135191,880,529,45,959,0,959,207,171,36,87,19,338,4144,4812,920,3892,871,154,402,8,215,5477,70,1763,161,840,0,689,15790,501,486,,1191,19,,,87,338,4144,4812,9381,0,0,0,3964,38460
GOA,2001,GOA2001,1347668,82.01,3702,36,30,5,12,0,12,9,6,3,7,0,25,359,576,168,408,64,39,62,2,16,174,2,17,7,11,0,191,697,1,0,,67,1,967,30781416,7,25,359,576,967,,,,55,2341
GUJARAT,2001,GUJARAT2001,50579626,69.14,196024,1226,537,94,286,0,286,998,857,141,327,19,991,5142,15834,5504,10330,1930,1748,1779,55,449,13760,67,756,111,3667,0,2924,50719,1242,309,,2616,38,22294,666892390,327,991,5142,15834,22294,12,8,0,5744,103419
HARYANA,2001,HARYANA2001,21144564,67.91,44212,781,467,78,398,0,398,449,297,152,77,141,397,3109,6117,3022,3095,750,556,1016,37,203,4744,285,478,401,1513,0,856,15906,229,0,,1373,16,9700,351821248,77,397,3109,6117,9700,6,5,0,3372,38759
HIMACHAL PRADESH,2001,HIMACHAL PRADESH2001,6077900,76.48,55673,119,75,11,124,0,124,126,105,21,4,0,28,844,600,142,458,628,69,146,2,134,1403,10,310,14,317,0,483,6052,110,4,,130,2,1476,46853339,4,28,844,600,1476,0,0,0,880,11499
JAMMU & KASHMIR,2001,JAMMU & KASHMIR2001,10143700,55.52,222236,1075,1474,33,169,0,169,606,504,102,24,0,161,1345,1919,633,1286,1072,90,391,15,437,318,13,622,288,50,0,357,9046,10,0,,2,150,3449,98537562,24,161,1345,1919,3449,0,0,0,1646,19505
