STATE/UT,YEAR,POPULATION,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,Crimes Against Women,TOTAL IPC CRIMES,LITERACY RATE,AREA (in sq. km),CRIMES AGAINST CHILDREN,JUVENILES APPREHENDED,POLICEMEN KILLED,THEFT CASES REPOERTED,THEFT VALUE TOTAL,TOTAL  Dacoity,TOTAL  Robbery,TOTAL  Burglary,TOTAL  Theft,Total Petty Crime,Human Rights Violation Cases,Policemen Chargesheeted,Polimen Charged
ANDHRA PRADESH,2001,76210007,2602,1555,136,871,0,871,1182,765,417,214,9,629,7220,16751,3051,13700,3001,788,5391,144,872,34947,420,3544,2271,5791,7,7400,34344,2933,512,13669,130089,60.47,275045,270,1425,70,24814,423123832,214,629,7220,16751,24814,45,29,2
ARUNACHAL PRADESH,2001,1097968,83,53,3,33,0,33,83,55,28,22,2,84,248,443,36,407,24,41,30,4,13,466,0,78,3,11,0,0,618,0,72,180,2342,54.34,83743,0,136,1,797,25830824,22,84,248,443,797,11,6,0
ASSAM,2001,26655528,1356,481,40,817,0,817,1480,1070,410,532,14,687,2423,5367,350,5017,2953,374,575,46,441,5805,59,850,4,1248,0,2010,9315,6,0,4048,36877,63.25,78438,18,253,34,9009,91939857,532,687,2423,5367,9009,35,0,0
BIHAR,2001,82998509,3643,3419,250,888,0,888,2159,518,1641,1291,147,2203,3233,9701,1050,8651,8606,946,1659,85,502,7544,859,562,21,1558,83,2406,36667,1303,47,4489,88432,47,94163,83,576,14,16428,403558199,1291,2203,3233,9701,16428,0,0,0
CHHATTISGARH,2001,20733232,880,529,45,959,0,959,207,171,36,87,19,338,4144,4812,920,3892,871,154,402,8,215,5477,70,1763,161,840,0,689,15790,501,486,3964,38460,64.66,135191,441.0894731,1191,19,26923.30935,324726682.3,87,338,4144,4812,9381,0,0,0
GOA,2001,1347668,36,30,5,12,0,12,9,6,3,7,0,25,359,576,168,408,64,39,62,2,16,174,2,17,7,11,0,191,697,1,0,55,2341,82.01,3702,-1.705907747,67,1,967,30781416,7,25,359,576,967,2.30643652,-0.526070412,0.264213977
GUJARAT,2001,50579626,1226,537,94,286,0,286,998,857,141,327,19,991,5142,15834,5504,10330,1930,1748,1779,55,449,13760,67,756,111,3667,0,2924,50719,1242,309,5744,103419,69.14,196024,1211.379259,2616,38,22294,666892390,327,991,5142,15834,22294,12,8,0
HARYANA,2001,21144564,781,467,78,398,0,398,449,297,152,77,141,397,3109,6117,3022,3095,750,556,1016,37,203,4744,285,478,401,1513,0,856,15906,229,0,3372,38759,67.91,44212,589.7638155,1373,16,9700,351821248,77,397,3109,6117,9700,6,5,0
HIMACHAL PRADESH,2001,6077900,119,75,11,124,0,124,126,105,21,4,0,28,844,600,142,458,628,69,146,2,134,1403,10,310,14,317,0,483,6052,110,4,880,11499,76.48,55673,22.60236172,130,2,1476,46853339,4,28,844,600,1476,0,0,0
JAMMU & KASHMIR,2001,10143700,1075,1474,33,169,0,169,606,504,102,24,0,161,1345,1919,633,1286,1072,90,391,15,437,318,13,622,288,50,0,357,9046,10,0,1646,19505,55.52,222236,53.72898049,2,150,3449,98537562,24,161,1345,1919,3449,0,0,0
JHARKHAND,2001,26945829,1507,866,143,567,0,567,441,279,162,636,48,647,1266,3827,754,3073,2018,283,554,23,165,2254,217,297,5,484,2,420,8777,158,282,1851,25447,53.56,74677,-367.159981,285,44,22827.30935,351579777.2,636,647,1266,3827,6376,1,1,0
KARNATAKA,2001,52709035,1626,1475,74,293,0,293,559,271,288,178,36,847,6394,12868,4016,8852,6686,494,2678,131,352,23285,220,1665,81,1755,0,100,47301,1621,276,4285,109098,66.06,191791,856.615011,693,14,67883.30935,939972565.4,178,847,6394,12868,20287,15,5,0
KERALA,2001,31841374,472,615,111,562,0,562,183,97,86,176,13,517,4474,5441,1795,3646,8108,428,2756,239,768,19829,27,1942,81,2561,0,0,54544,499,83,5270,103847,90.86,38852,282.1898595,127,4,10608,384465121,176,517,4474,5441,10608,3.210182011,2.302372554,-0.217152468
MADHYA PRADESH,2001,60348023,2425,2870,125,2851,0,2851,956,668,288,166,130,1764,13549,20263,4535,15728,3395,481,1413,19,1014,30895,609,7063,751,2562,0,3297,85143,4212,1535,14504,181741,63.74,308245,2714.0828,5607,10,35742,462284619,166,1764,13549,20263,35742,4,4,0
MAHARASHTRA,2001,96878627,2839,1454,101,1302,0,1302,985,611,374,529,328,2239,15073,39866,8873,30993,6719,1542,4273,265,1208,30212,308,2823,1120,6090,1,8993,42963,625,238,12255,171233,76.84,307713,2922.251618,4133,69,57707,2183563610,529,2239,15073,39866,57707,13,8,0
MANIPUR,2001,2302705,209,168,5,20,0,20,94,62,32,20,17,19,75,217,71,146,131,33,66,20,64,201,0,21,0,5,0,7,1097,0,0,108,2489,70.48,22327,-53.60081739,0,4,331,12026868,20,19,75,217,331,2.701759269,-0.131341426,0.029320695
MEGHALAYA,2001,2318822,164,47,2,26,0,26,55,11,44,97,3,125,170,271,16,255,8,19,29,3,26,102,0,25,0,4,0,0,511,0,0,66,1687,62.56,22429,-88.11723281,65,14,663,12164035,97,125,170,271,663,0,0,0
MIZORAM,2001,888573,31,15,5,52,0,52,2,1,1,3,0,23,417,878,17,861,3,23,71,12,24,94,0,52,0,16,3,23,499,1,10,124,2246,88.49,21081,11.47415502,31,0,1321,11598070,3,23,417,878,1321,2.617481916,-0.692846874,0.39974812
NAGALAND,2001,1990036,101,39,9,17,0,17,23,6,17,11,0,129,163,258,89,169,2,20,34,2,1,37,0,6,0,0,0,19,363,1,310,29,1234,66.59,16579,16.84230649,21,0,561,29678250,11,129,163,258,561,0,0,0
ODISHA,2001,36804660,987,1151,53,790,0,790,522,434,88,199,22,958,3093,5622,817,4805,1426,285,681,10,423,4367,294,1655,458,1266,0,1589,20810,1734,734,4897,46661,63.08,155707,473.7637064,212,11,9872,187558275,199,958,3093,5622,9872,3,4,0
PUNJAB,2001,24358999,738,789,80,298,0,298,513,324,189,45,84,131,1902,3023,1204,1819,1,368,2621,58,63,3996,159,372,47,1128,0,2154,9204,134,0,2328,27774,69.65,50362,75.93927289,24,95,5101,300415230,45,131,1902,3023,5101,11,5,0
RAJASTHAN,2001,56507188,1259,1923,63,1049,0,1049,2718,2165,553,60,40,889,7284,16939,4324,12615,11214,1026,6644,89,1092,27485,376,2878,56,5532,1,4221,62347,4892,1023,12057,155185,60.41,342239,1654.013524,2883,26,25172,551391050,60,889,7284,16939,25172,4,3,0
SIKKIM,2001,540851,19,11,7,8,0,8,6,2,4,0,0,3,76,74,6,68,3,1,13,0,1,35,0,0,14,0,0,7,166,6,6,24,444,68.81,7096,-37.31529821,15,2,153,3285263,0,3,76,74,153,2.389709456,-0.220555758,-0.09187504
TAMIL NADU,2001,62405679,1662,2204,19,423,0,423,952,607,345,158,6,672,5965,16709,4478,12231,5196,360,2139,104,980,28429,191,1773,1012,815,14,8550,76468,2336,9,4835,154801,73.45,130060,986.7659825,626,34,23504,416683131,158,672,5965,16709,23504,3.44715458,3.620646801,-0.802387816
TRIPURA,2001,3199203,240,25,0,102,0,102,93,35,58,26,0,63,198,259,6,253,138,4,17,6,31,412,16,58,0,227,0,31,855,2,0,438,2801,73.19,10486,-36.18367848,20,17,546,10600429,26,63,198,259,546,2.462133547,0.257979511,0.477334444
UTTAR PRADESH,2001,166197921,7601,7964,1186,1958,0,1958,4330,2879,1451,905,38,3825,8411,27011,6189,20822,7343,3430,5363,147,812,17816,2211,2870,2575,7365,0,7129,57839,10732,254,19858,178129,57.36,240928,1837.165326,150,57,40152,1342018407,905,3825,8411,27011,40152,15,53,0
UTTARAKHAND,2001,8489349,316,279,38,74,0,74,183,126,57,32,3,191,533,1419,374,1045,440,171,318,4,30,830,56,103,84,301,0,441,2227,168,18,744,8073,71.62,53566,69.53759617,5,7,2175,48986057,32,191,533,1419,2175,1,0,0
WEST BENGAL,2001,80176197,1594,449,581,709,0,709,875,695,180,274,421,660,426,14245,2562,11683,3095,486,1216,102,102,3658,265,954,48,3859,3,2281,25260,10,2,6533,61563,68.64,88752,526.3306185,25,18,15605,297894274,274,660,426,14245,15605,0,0,0
A & N ISLANDS,2001,356152,13,0,0,3,0,3,2,2,0,0,0,4,64,65,4,61,13,10,8,2,4,118,0,19,1,9,0,0,323,0,1,34,658,81.3,8249,309.1269266,1872.144707,0,133,1957510,0,4,64,65,133,3.093538676,15.61937875,7.981674063
CHANDIGARH,2001,900635,15,10,6,18,0,18,56,50,6,5,0,22,364,1529,494,1035,91,26,155,2,5,95,3,24,15,36,0,6,914,3,0,146,3397,81.94,114,39.50200979,66,3,1920,47992609,5,22,364,1529,1920,1,0,0
D & N HAVELI,2001,220451,3,2,0,6,0,6,4,2,2,0,0,2,34,45,15,30,4,13,12,1,1,29,0,7,0,4,0,0,183,0,6,19,350,57.63,491,-40.80953662,2,0,81,3065362,0,2,34,45,81,2.234796291,0.022117614,-0.525877084
DAMAN & DIU,2001,158204,7,5,0,0,0,0,5,3,2,0,0,0,43,40,20,20,23,5,9,1,3,21,0,0,0,4,0,0,73,0,0,7,239,78.18,112,-43.15420449,2,0,83,3707732,0,0,43,40,83,2.229308399,-0.606904646,0.146993159
LAKSHADWEEP,2001,60650,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,1,1,0,0,2,3,0,0,0,0,0,0,17,0,0,0,36,86.66,32,-45.64624192,1,0,11,105790,0,0,1,10,11,2.222470463,-0.894401092,0.433313074
PUDUCHERRY,2001,974345,25,32,1,9,0,9,4,3,1,1,0,4,111,528,284,244,100,5,23,3,31,635,1,35,27,3,0,166,2324,13,0,78,4068,81.24,479,-20.2148351,3,0,644,10234351,1,4,111,528,644,2.15591008,-0.703732275,0.188782437
ANDHRA PRADESH,2002,77722774,2525,1644,165,1002,0,1002,1302,854,448,197,3,648,7628,19222,3544,15678,2140,1050,6733,155,991,39839,449,3799,2024,7018,0,8691,36385,3385,525,15146,143610,62.66,275045,1209.746287,1466,55,27695,462165830,197,648,7628,19222,27695,26,14,0
